from,to,classification,note
45,47,mixed,
54,60,filler,
61,61,mixed,
68,69,mixed,
98,99,filler,
101,101,mixed,
102,102,filler,
131,143,filler,
196,206,filler,
220,225,filler,
226,226,mixed,
279,283,filler,
291,292,filler,
303,303,filler,
317,319,filler,
326,336,filler,
354,354,mixed,
382,384,filler,
406,407,filler,
421,421,mixed,
426,429,filler,
457,458,filler,
489,489,mixed,
492,492,filler,
520,520,mixed,
542,542,filler,
574,574,mixed,
575,578,filler,
590,590,filler,
625,625,mixed,
626,627,filler,
628,628,mixed,
633,633,mixed,
653,653,mixed,
657,657,mixed,
679,679,mixed,
690,690,mixed,
731,731,mixed,
738,738,mixed,
747,750,filler,
751,751,mixed,
777,778,mixed,
780,782,filler,
789,789,mixed,
803,803,mixed,
807,807,mixed,
878,879,mixed,
881,885,mixed,
887,890,mixed,
895,896,filler,
907,907,filler,
924,924,mixed,
988,989,mixed,
991,991,mixed,
1029,1030,filler,
